Facility Name,City,Region,Type
Universal Towing,Harvey,South,Recycler Class IV-B
156th Commercial Avenue LLC,Harvey,South,Recycler Class V
Allied Asphalt Paving Company,Franklin Park,West,Recycler Class V
"America Material Sales, Inc.",East Dundee,North,Recycler Class V
"America Material Sales, Inc.",Glenview,North,Recycler Class V
"America Material Sales, Inc.",Schaumburg,North,Recycler Class V
"American Waste Industries, Inc.",Maywood,West,Recycler Class V
Beverly Materials Cook County BUD,East Dundee,North,Recycler Class V
Beverly Materials LLC,Bartlett,North,Recycler Class V
Bluff City Industrial Park,Bartlett,North,Recycler Class V
Bridges Excavating Inc.,Markham,South,Recycler Class V
Builders Asphalt,Elk Grove Village,North,Recycler Class V
Builders Asphalt,Skokie,North,Recycler Class V
City Wide Disposal,Cicero,West,Recycler Class V
"Consolidated Materials, Inc.",Melrose Park,West,Recycler Class V
Cook County Waste & Recycling,Blue Island,South,Recycler Class V
Des Plaines Material and Supply,Des Plaines,North,Recycler Class V
Earth Inc,Bartlett,North,Recycler Class V
Gifford Recycle,Elgin,North,Recycler Class V
Glenview Material and Supply,Glenview,North,Recycler Class V
Heartland Recycling LLC,Forest View,West,Recycler Class V
Illiana Aggregates,Chicago Heights,South,Recycler Class V
Iwema Excavating,Cicero,West,Recycler Class V
"JKS Ventures, Inc.",Melrose Park,West,Recycler Class V
K & R Service,Crestwood,South,Recycler Class V
K-Five Hodgkins LLC,Hodgkins,West,Recycler Class V
Lampignano and Son Construction Co.,Mount Prospect,North,Recycler Class V
"Lenny Hoffman Excavating, Inc.",Wilmette,North,Recycler Class V
Lorig Construction Company,Des Plaines,North,Recycler Class V
"Maddend Group, Inc C&D Recycling Facility",Bedford Park,West,Recycler Class V
Markham Asphalt Company,Markham,South,Recycler Class V
Markham Transfer and Recycling,Markham,South,Recycler Class V
Martam Construction,Elgin,North,Recycler Class V
"MBL Recycling, Inc.",Palatine,North,Recycler Class V
"Midway Building Supply, LLC",South Holland,South,Recycler Class V
"Reliable Materials Lyons, LLC",Lyons,West,Recycler Class V
Riverdale Materials,Riverdale,South,Recycler Class V
Riverdale Recycling Facility,Riverdale,South,Recycler Class V
"Rossi Contractors, Inc.",Northlake,West,Recycler Class V
Route 83 Materials,Lemont,South,Recycler Class V
Sandeno East,Hazel Crest,South,Recycler Class V
"Sexton Properties R.P., LLC",Richton Park,South,Recycler Class V
Southwind RAS - McCook Recycling Center,McCook,West,Recycler Class V
Southwind RAS - Thornton Recycling Center,Thornton,South,Recycler Class V
TAZ Construction and Demolition Recycling,McCook,West,Recycler Class V
"Tough Cut Concrete Services, Inc.",Forest View,West,Recycler Class V
V & R Materials,Calumet City,South,Recycler Class V
"Vulcan Construction Materials, LLC - Elk Grove Recycle Facility",Elk Grove Village,North,Recycler Class V
